0xCB | 0x0 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x40 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x41 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x42 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x43 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x44 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x45 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x46 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x47 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x48 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x49 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x4A -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x4B -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x4C -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x4D -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x4E -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x4F -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x50 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x51 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x52 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x53 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x54 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x55 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x56 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x57 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x58 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x59 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x5A -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x5B -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x5C -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x5D -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x5E -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x5F -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x60 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x61 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x62 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x63 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x64 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x65 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x66 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x67 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x68 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x69 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x6A -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x6B -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x6C -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x6D -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x6E -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x6F -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x70 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x71 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x72 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x73 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x74 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x75 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x76 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x77 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x78 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x79 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x7A -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x7B -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x7C -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x7D -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x7E -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x7F -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x80 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x81 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x82 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x83 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x84 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x85 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x86 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x87 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x88 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x89 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x8A -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x8B -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x8C -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x8D -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x8E -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x8F -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x90 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x91 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x92 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x93 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x94 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x95 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x96 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x97 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x98 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x99 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x9A -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x9B -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x9C -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x9D -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x9E -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0x9F -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA0 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA1 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA2 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA3 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA4 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA5 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA6 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA7 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA8 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xA9 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xAA -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xAB -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xAC -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xAD -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xAE -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xAF -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB0 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB1 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB2 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB3 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB4 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB5 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB6 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB7 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB8 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xB9 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xBA -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xBB -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xBC -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xBD -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xBE -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xBF -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC0 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC1 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC2 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC3 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC4 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC5 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC6 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC7 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC8 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xC9 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xCA -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xCB -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xCB -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xCC -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xCD -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xCE -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xCB | 0xCF -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD0 -> "Opcode is not implemented (yet): 0xD0"
0xCB | 0xD0 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD1 -> "Opcode is not implemented (yet): 0xD1"
0xCB | 0xD1 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD2 -> "Opcode is not implemented (yet): 0xD2"
0xCB | 0xD2 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD3 -> "Opcode is not implemented (yet): 0xD3"
0xCB | 0xD3 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD4 -> "Opcode is not implemented (yet): 0xD4"
0xCB | 0xD4 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD5 -> "Opcode is not implemented (yet): 0xD5"
0xCB | 0xD5 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD6 -> "Opcode is not implemented (yet): 0xD6"
0xCB | 0xD6 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD7 -> "Opcode is not implemented (yet): 0xD7"
0xCB | 0xD7 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD8 -> "Opcode is not implemented (yet): 0xD8"
0xCB | 0xD8 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xD9 -> "Opcode is not implemented (yet): 0xD9"
0xCB | 0xD9 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xDA -> "Opcode is not implemented (yet): 0xDA"
0xCB | 0xDA -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xDB -> "Opcode is not implemented (yet): 0xDB"
0xCB | 0xDB -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xDC -> "Opcode is not implemented (yet): 0xDC"
0xCB | 0xDC -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xDD -> "Opcode is not implemented (yet): 0xDD"
0xCB | 0xDD -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xDE -> "Opcode is not implemented (yet): 0xDE"
0xCB | 0xDE -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xDF -> "Opcode is not implemented (yet): 0xDF"
0xCB | 0xDF -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE0 -> "Opcode is not implemented (yet): 0xE0"
0xCB | 0xE0 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE1 -> "Opcode is not implemented (yet): 0xE1"
0xCB | 0xE1 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE2 -> "Opcode is not implemented (yet): 0xE2"
0xCB | 0xE2 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE3 -> "Opcode is not implemented (yet): 0xE3"
0xCB | 0xE3 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE4 -> "Opcode is not implemented (yet): 0xE4"
0xCB | 0xE4 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE5 -> "Opcode is not implemented (yet): 0xE5"
0xCB | 0xE5 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE6 -> "Opcode is not implemented (yet): 0xE6"
0xCB | 0xE6 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE7 -> "Opcode is not implemented (yet): 0xE7"
0xCB | 0xE7 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE8 -> "Opcode is not implemented (yet): 0xE8"
0xCB | 0xE8 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xE9 -> "Opcode is not implemented (yet): 0xE9"
0xCB | 0xE9 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xEA -> "Opcode is not implemented (yet): 0xEA"
0xCB | 0xEA -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xEB -> "Opcode is not implemented (yet): 0xEB"
0xCB | 0xEB -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xEC -> "Opcode is not implemented (yet): 0xEC"
0xCB | 0xEC -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xED -> "Opcode is not implemented (yet): 0xED"
0xCB | 0xED -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xEE -> "Opcode is not implemented (yet): 0xEE"
0xCB | 0xEE -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xEF -> "Opcode is not implemented (yet): 0xEF"
0xCB | 0xEF -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF0 -> "Opcode is not implemented (yet): 0xF0"
0xCB | 0xF0 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF1 -> "Opcode is not implemented (yet): 0xF1"
0xCB | 0xF1 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF2 -> "Opcode is not implemented (yet): 0xF2"
0xCB | 0xF2 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF3 -> "Opcode is not implemented (yet): 0xF3"
0xCB | 0xF3 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF4 -> "Opcode is not implemented (yet): 0xF4"
0xCB | 0xF4 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF5 -> "Opcode is not implemented (yet): 0xF5"
0xCB | 0xF5 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF6 -> "Opcode is not implemented (yet): 0xF6"
0xCB | 0xF6 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF7 -> "Opcode is not implemented (yet): 0xF7"
0xCB | 0xF7 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF8 -> "Opcode is not implemented (yet): 0xF8"
0xCB | 0xF8 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xF9 -> "Opcode is not implemented (yet): 0xF9"
0xCB | 0xF9 -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xFA -> "Opcode is not implemented (yet): 0xFA"
0xCB | 0xFA -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xFB -> "Opcode is not implemented (yet): 0xFB"
0xCB | 0xFB -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xFC -> "Opcode is not implemented (yet): 0xFC"
0xCB | 0xFC -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xFD -> "Opcode is not implemented (yet): 0xFD"
0xCB | 0xFD -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xFE -> "Opcode is not implemented (yet): 0xFE"
0xCB | 0xFE -> "Prefixed Opcodes should have already been handled 😕 0xCB"
0xFF -> "Opcode is not implemented (yet): 0xFF"
0xCB | 0xFF -> "Prefixed Opcodes should have already been handled 😕 0xCB"
